序號,答案
20240329111001,64.37
20240329112001,67.66
20240329113001,71.04
20240329114001,75.16
20240329115001,84.74
20240329120001,94.66
20240329121001,86.22
20240329122001,86.78
20240329123001,85.42
20240329124001,69.35
20240329125001,77.02
20240329130001,88.01
20240329131001,75.36
20240329132001,71.52
20240329133001,69.73
20240329134001,67.82
20240329135001,80.18
20240329140001,84.03
20240329141001,69.43
20240329142001,73.94
20240329143001,73.09
20240329144001,66.33
20240329145001,63.07
20240329150001,8.07
20240329151001,14.5
20240329152001,14.21
20240329153001,8.09
20240329154001,7.45
20240329155001,6.29
20240329160001,1.03
20240329161001,0.68
20240329162001,2.07
20240329163001,0.72
20240329164001,0.0
20240329165001,0.0
20240428090001,72.95
20240428091001,144.07
20240428092001,82.55
20240428093001,14.34
20240428094001,24.65
20240428095001,29.49
20240428100001,68.87
20240428101001,129.54
20240428102001,236.4
20240428103001,607.33
20240428104001,1074.3
20240428105001,1081.16
20240428110001,1096.61
20240428111001,1169.36
20240428112001,802.06
20240428113001,639.89
20240428114001,678.97
20240428115001,428.93
20240428120001,765.67
20240428121001,772.84
20240428122001,433.61
20240428123001,356.69
20240428124001,450.49
20240428125001,313.48
20240428130001,101.64
20240428131001,81.19
20240428132001,63.76
20240428133001,57.35
20240428134001,76.86
20240428135001,71.62
20240428140001,55.43
20240428141001,80.12
20240428142001,71.94
20240428143001,69.93
20240428144001,72.13
20240428145001,97.31
20240428150001,171.93
20240428151001,182.47
20240428152001,136.89
20240428153001,67.08
20240428154001,69.61
20240428155001,89.18
20240428160001,103.8
20240428161001,73.91
20240428162001,41.71
20240428163001,21.11
20240428164001,40.3
20240428165001,35.58
20240430090001,615.77
20240430091001,707.23
20240430092001,697.1
20240430093001,593.48
20240430094001,752.86
20240430095001,528.03
20240430100001,719.63
20240430101001,911.89
20240430102001,1168.68
20240430103001,1206.03
20240430104001,1431.14
20240430105001,1254.24
20240430110001,953.92
20240430111001,1214.46
20240430112001,1234.34
20240430113001,1216.56
20240430114001,1334.02
20240430115001,1292.69
20240430120001,693.91
20240430121001,926.13
20240430122001,883.38
20240430123001,1088.04
20240430124001,1068.09
20240430125001,990.75
20240430130001,1119.7
20240430131001,1013.07
20240430132001,980.07
20240430133001,976.59
20240430134001,763.22
20240430135001,954.08
20240430140001,660.69
20240430141001,528.72
20240430142001,590.77
20240430143001,465.68
20240430144001,377.67
20240430145001,423.8
20240430150001,132.98
20240430151001,70.38
20240430152001,35.67
20240430153001,36.14
20240430154001,23.98
20240430155001,13.35
20240430160001,12.38
20240430161001,15.63
20240430162001,13.22
20240430163001,10.55
20240430164001,9.06
20240430165001,10.1
20240515090001,657.95
20240515091001,517.93
20240515092001,740.39
20240515093001,777.47
20240515094001,916.43
20240515095001,666.39
20240515100001,1075.67
20240515101001,980.01
20240515102001,850.63
20240515103001,550.37
20240515104001,543.3
20240515105001,830.96
20240515110001,1326.43
20240515111001,1256.01
20240515112001,1429.75
20240515113001,1012.52
20240515114001,1081.01
20240515115001,1189.4
20240515120001,1303.09
20240515121001,1194.21
20240515122001,1009.32
20240515123001,682.9
20240515124001,523.57
20240515125001,743.3
20240515130001,988.82
20240515131001,961.04
20240515132001,928.09
20240515133001,857.31
20240515134001,997.51
20240515135001,890.6
20240515140001,407.09
20240515141001,492.35
20240515142001,316.75
20240515143001,170.39
20240515144001,106.69
20240515145001,56.99
20240515150001,78.77
20240515151001,71.48
20240515152001,84.14
20240515153001,67.45
20240515154001,69.17
20240515155001,53.13
20240515160001,58.52
20240515161001,58.15
20240515162001,38.22
20240515163001,24.52
20240515164001,13.79
20240515165001,13.54
20240520090001,647.46
20240520091001,513.94
20240520092001,636.63
20240520093001,803.91
20240520094001,616.17
20240520095001,692.05
20240520100001,554.83
20240520101001,556.63
20240520102001,309.41
20240520103001,234.92
20240520104001,203.37
20240520105001,620.34
20240520110001,582.01
20240520111001,640.37
20240520112001,686.16
20240520113001,694.72
20240520114001,283.89
20240520115001,185.86
20240520120001,139.01
20240520121001,203.12
20240520122001,158.55
20240520123001,154.71
20240520124001,189.34
20240520125001,157.03
20240520130001,200.6
20240520131001,192.95
20240520132001,133.32
20240520133001,92.15
20240520134001,66.74
20240520135001,107.73
20240520140001,149.25
20240520141001,112.0
20240520142001,106.98
20240520143001,111.39
20240520144001,129.7
20240520145001,103.15
20240520150001,125.14
20240520151001,92.03
20240520152001,109.94
20240520153001,80.48
20240520154001,76.1
20240520155001,74.65
20240520160001,37.73
20240520161001,26.97
20240520162001,40.32
20240520163001,33.45
20240520164001,32.19
20240520165001,25.43
20240613090001,12.01
20240613091001,20.44
20240613092001,48.23
20240613093001,78.56
20240613094001,54.86
20240613095001,49.13
20240613100001,94.35
20240613101001,126.09
20240613102001,161.46
20240613103001,187.51
20240613104001,176.52
20240613105001,146.67
20240613110001,153.25
20240613111001,132.56
20240613112001,195.32
20240613113001,187.08
20240613114001,368.44
20240613115001,500.87
20240613120001,319.71
20240613121001,310.38
20240613122001,241.55
20240613123001,204.39
20240613124001,149.89
20240613125001,86.55
20240613130001,254.11
20240613131001,280.7
20240613132001,157.86
20240613133001,132.04
20240613134001,122.31
20240613135001,218.99
20240613140001,262.23
20240613141001,94.15
20240613142001,123.43
20240613143001,92.56
20240613144001,80.07
20240613145001,48.4
20240613150001,12.19
20240613151001,15.46
20240613152001,19.53
20240613153001,11.57
20240613154001,9.8
20240613155001,14.75
20240613160001,35.39
20240613161001,23.11
20240613162001,17.51
20240613163001,11.81
20240613164001,5.56
20240613165001,3.63
20240615090001,605.37
20240615091001,666.43
20240615092001,654.1
20240615093001,712.68
20240615094001,426.75
20240615095001,454.75
20240615100001,906.86
20240615101001,950.3
20240615102001,822.21
20240615103001,881.14
20240615104001,596.45
20240615105001,471.86
20240615110001,783.51
20240615111001,630.64
20240615112001,627.92
20240615113001,910.72
20240615114001,956.64
20240615115001,961.68
20240615120001,1005.66
20240615121001,1111.89
20240615122001,1050.19
20240615123001,865.36
20240615124001,877.23
20240615125001,900.94
20240615130001,917.82
20240615131001,592.44
20240615132001,604.31
20240615133001,453.63
20240615134001,334.98
20240615135001,451.41
20240615140001,261.36
20240615141001,407.76
20240615142001,294.75
20240615143001,162.96
20240615144001,230.79
20240615145001,195.98
20240615150001,221.97
20240615151001,135.35
20240615152001,101.69
20240615153001,98.51
20240615154001,74.29
20240615155001,43.56
20240615160001,8.27
20240615161001,23.37
20240615162001,22.59
20240615163001,15.87
20240615164001,26.97
20240615165001,25.18
20240703090001,166.86
20240703091001,393.87
20240703092001,757.97
20240703093001,761.19
20240703094001,834.57
20240703095001,603.68
20240703100001,625.97
20240703101001,76.04
20240703102001,234.52
20240703103001,895.6
20240703104001,938.19
20240703105001,807.64
20240703110001,861.57
20240703111001,844.47
20240703112001,811.59
20240703113001,850.91
20240703114001,957.92
20240703115001,684.71
20240703120001,862.02
20240703121001,910.55
20240703122001,919.85
20240703123001,984.45
20240703124001,823.47
20240703125001,792.08
20240703130001,910.43
20240703131001,1022.41
20240703132001,1120.96
20240703133001,717.89
20240703134001,669.32
20240703135001,769.02
20240703140001,108.62
20240703141001,68.51
20240703142001,172.59
20240703143001,216.06
20240703144001,350.12
20240703145001,260.88
20240703150001,291.4
20240703151001,322.67
20240703152001,344.41
20240703153001,198.67
20240703154001,246.6
20240703155001,219.04
20240703160001,107.85
20240703161001,53.97
20240703162001,53.28
20240703163001,20.15
20240703164001,3.07
20240703165001,11.55
20240707090001,623.11
20240707091001,644.12
20240707092001,758.57
20240707093001,803.85
20240707094001,952.01
20240707095001,974.91
20240707100001,989.46
20240707101001,1029.79
20240707102001,974.54
20240707103001,954.95
20240707104001,1001.14
20240707105001,1124.45
20240707110001,1145.92
20240707111001,1067.33
20240707112001,1078.21
20240707113001,1093.93
20240707114001,979.02
20240707115001,1006.13
20240707120001,1043.19
20240707121001,917.34
20240707122001,853.95
20240707123001,757.79
20240707124001,968.39
20240707125001,909.88
20240707130001,801.55
20240707131001,859.85
20240707132001,690.33
20240707133001,668.93
20240707134001,722.4
20240707135001,631.06
20240707140001,537.28
20240707141001,323.98
20240707142001,234.18
20240707143001,392.76
20240707144001,261.53
20240707145001,158.8
20240707150001,447.88
20240707151001,495.1
20240707152001,558.51
20240707153001,273.88
20240707154001,175.75
20240707155001,253.31
20240707160001,45.45
20240707161001,24.06
20240707162001,17.74
20240707163001,26.08
20240707164001,35.17
20240707165001,40.14
20240125090002,26.53
20240125091002,29.03
20240125092002,22.2
20240125093002,21.72
20240125094002,22.19
20240125095002,23.34
20240125100002,13.06
20240125101002,16.84
20240125102002,27.94
20240125103002,36.52
20240125104002,35.42
20240125105002,37.94
20240125110002,86.36
20240125111002,116.15
20240125112002,117.98
20240125113002,114.48
20240125114002,121.44
20240125115002,211.27
20240125120002,615.84
20240125121002,340.82
20240125122002,261.58
20240125123002,221.02
20240125124002,204.75
20240125125002,179.49
20240125130002,101.47
20240125131002,69.31
20240125132002,54.78
20240125133002,69.51
20240125134002,51.97
20240125135002,41.46
20240125140002,38.13
20240125141002,28.3
20240125142002,20.47
20240125143002,11.34
20240125144002,13.51
20240125145002,7.24
20240125150002,6.87
20240125151002,5.37
20240125152002,3.97
20240125153002,3.97
20240125154002,3.53
20240125155002,2.11
20240125160002,3.23
20240125161002,3.12
20240125162002,1.84
20240125163002,1.28
20240125164002,0.84
20240125165002,0.0
20240128090002,42.09
20240128091002,47.92
20240128092002,50.06
20240128093002,34.12
20240128094002,25.76
20240128095002,18.74
20240128100002,64.87
20240128101002,55.15
20240128102002,52.03
20240128103002,98.07
20240128104002,65.76
20240128105002,38.83
20240128110002,32.76
20240128111002,37.2
20240128112002,69.84
20240128113002,84.14
20240128114002,45.25
20240128115002,49.75
20240128120002,55.13
20240128121002,55.74
20240128122002,48.48
20240128123002,44.03
20240128124002,24.64
20240128125002,29.45
20240128130002,21.27
20240128131002,18.75
20240128132002,14.04
20240128133002,11.66
20240128134002,20.86
20240128135002,14.98
20240128140002,24.82
20240128141002,16.15
20240128142002,16.63
20240128143002,16.62
20240128144002,18.12
20240128145002,14.61
20240128150002,20.38
20240128151002,20.33
20240128152002,17.86
20240128153002,11.76
20240128154002,6.02
20240128155002,5.16
20240128160002,1.08
20240128161002,1.92
20240128162002,0.81
20240128163002,0.53
20240128164002,0.0
20240128165002,0.0
20240213090002,382.25
20240213091002,580.91
20240213092002,769.65
20240213093002,838.82
20240213094002,1121.79
20240213095002,1703.75
20240213100002,1284.25
20240213101002,1411.23
20240213102002,838.45
20240213103002,1802.81
20240213104002,1814.36
20240213105002,1835.75
20240213110002,1540.49
20240213111002,1791.49
20240213112002,1735.97
20240213113002,1304.96
20240213114002,1053.17
20240213115002,1142.91
20240213120002,1961.05
20240213121002,2037.03
20240213122002,2043.88
20240213123002,1821.26
20240213124002,1472.3
20240213125002,1672.81
20240213130002,680.85
20240213131002,361.5
20240213132002,215.06
20240213133002,175.27
20240213134002,149.37
20240213135002,195.03
20240213140002,147.35
20240213141002,182.21
20240213142002,194.57
20240213143002,186.4
20240213144002,101.99
20240213145002,88.95
20240213150002,69.85
20240213151002,82.02
20240213152002,91.72
20240213153002,78.56
20240213154002,45.11
20240213155002,30.72
20240213160002,31.03
20240213161002,32.03
20240213162002,29.14
20240213163002,30.32
20240213164002,7.4
20240213165002,0.67
20240226090002,35.55
20240226091002,33.08
20240226092002,40.86
20240226093002,51.54
20240226094002,48.22
20240226095002,49.55
20240226100002,90.66
20240226101002,94.52
20240226102002,122.85
20240226103002,121.54
20240226104002,92.43
20240226105002,80.91
20240226110002,126.3
20240226111002,131.94
20240226112002,136.06
20240226113002,81.24
20240226114002,78.39
20240226115002,57.77
20240226120002,73.52
20240226121002,75.99
20240226122002,73.21
20240226123002,79.7
20240226124002,70.5
20240226125002,65.03
20240226130002,26.52
20240226131002,25.98
20240226132002,25.8
20240226133002,26.42
20240226134002,26.72
20240226135002,14.4
20240226140002,14.77
20240226141002,6.81
20240226142002,6.7
20240226143002,7.68
20240226144002,5.78
20240226145002,2.98
20240226150002,6.46
20240226151002,7.79
20240226152002,5.7
20240226153002,3.64
20240226154002,3.08
20240226155002,1.9
20240226160002,2.78
20240226161002,2.4
20240226162002,1.34
20240226163002,0.73
20240226164002,0.49
20240226165002,0.29
20240319090002,3.55
20240319091002,5.98
20240319092002,8.12
20240319093002,3.67
20240319094002,7.52
20240319095002,6.84
20240319100002,20.97
20240319101002,23.91
20240319102002,16.16
20240319103002,18.22
20240319104002,18.14
20240319105002,19.98
20240319110002,37.87
20240319111002,42.87
20240319112002,46.95
20240319113002,47.72
20240319114002,59.7
20240319115002,40.01
20240319120002,27.35
20240319121002,34.55
20240319122002,33.49
20240319123002,31.43
20240319124002,29.51
20240319125002,30.63
20240319130002,22.82
20240319131002,18.62
20240319132002,19.57
20240319133002,18.11
20240319134002,15.38
20240319135002,16.87
20240319140002,10.99
20240319141002,12.63
20240319142002,16.12
20240319143002,17.59
20240319144002,12.78
20240319145002,15.35
20240319150002,14.87
20240319151002,18.54
20240319152002,17.07
20240319153002,11.28
20240319154002,8.04
20240319155002,7.26
20240319160002,3.82
20240319161002,3.61
20240319162002,2.75
20240319163002,2.38
20240319164002,3.9
20240319165002,1.89
20240427090002,72.07
20240427091002,54.56
20240427092002,46.9
20240427093002,43.44
20240427094002,60.87
20240427095002,93.01
20240427100002,145.77
20240427101002,142.12
20240427102002,155.68
20240427103002,178.87
20240427104002,201.13
20240427105002,140.04
20240427110002,120.77
20240427111002,113.68
20240427112002,97.16
20240427113002,95.84
20240427114002,88.74
20240427115002,81.32
20240427120002,96.57
20240427121002,81.61
20240427122002,102.45
20240427123002,95.43
20240427124002,97.82
20240427125002,99.83
20240427130002,163.41
20240427131002,178.2
20240427132002,154.55
20240427133002,150.83
20240427134002,168.82
20240427135002,134.77
20240427140002,242.95
20240427141002,235.28
20240427142002,123.65
20240427143002,182.23
20240427144002,155.94
20240427145002,175.11
20240427150002,88.71
20240427151002,96.55
20240427152002,75.9
20240427153002,46.2
20240427154002,48.01
20240427155002,56.56
20240427160002,43.79
20240427161002,37.92
20240427162002,27.94
20240427163002,18.01
20240427164002,13.46
20240427165002,15.23
20240508090002,140.96
20240508091002,115.24
20240508092002,130.08
20240508093002,109.79
20240508094002,137.93
20240508095002,150.51
20240508100002,156.85
20240508101002,158.95
20240508102002,138.49
20240508103002,124.56
20240508104002,64.94
20240508105002,86.48
20240508110002,83.36
20240508111002,86.02
20240508112002,110.27
20240508113002,111.88
20240508114002,92.22
20240508115002,116.64
20240508120002,106.53
20240508121002,91.08
20240508122002,131.15
20240508123002,75.58
20240508124002,53.11
20240508125002,31.36
20240508130002,17.4
20240508131002,23.96
20240508132002,28.11
20240508133002,17.08
20240508134002,9.74
20240508135002,15.6
20240508140002,38.79
20240508141002,46.51
20240508142002,55.76
20240508143002,30.04
20240508144002,9.79
20240508145002,8.43
20240508150002,6.56
20240508151002,7.62
20240508152002,11.86
20240508153002,2.69
20240508154002,0.08
20240508155002,0.84
20240508160002,0.0
20240508161002,1.11
20240508162002,0.11
20240508163002,0.07
20240508164002,0.0
20240508165002,0.0
20240705090002,448.08
20240705091002,468.49
20240705092002,469.57
20240705093002,726.47
20240705094002,969.59
20240705095002,1009.63
20240705100002,1058.34
20240705101002,887.96
20240705102002,1234.6
20240705103002,1255.49
20240705104002,1272.6
20240705105002,749.46
20240705110002,542.02
20240705111002,203.07
20240705112002,323.01
20240705113002,690.65
20240705114002,826.73
20240705115002,1060.92
20240705120002,939.02
20240705121002,956.21
20240705122002,1101.44
20240705123002,1091.47
20240705124002,1005.11
20240705125002,495.66
20240705130002,808.54
20240705131002,982.73
20240705132002,956.08
20240705133002,861.44
20240705134002,914.73
20240705135002,835.31
20240705140002,591.85
20240705141002,629.41
20240705142002,613.74
20240705143002,246.32
20240705144002,313.06
20240705145002,202.88
20240705150002,183.21
20240705151002,303.8
20240705152002,256.15
20240705153002,81.08
20240705154002,37.48
20240705155002,109.34
20240705160002,14.71
20240705161002,27.32
20240705162002,22.96
20240705163002,21.22
20240705164002,0.08
20240705165002,3.41
20240707090002,889.63
20240707091002,848.4
20240707092002,759.77
20240707093002,699.57
20240707094002,876.52
20240707095002,956.39
20240707100002,1094.01
20240707101002,1158.83
20240707102002,1047.67
20240707103002,1021.96
20240707104002,1035.17
20240707105002,1314.62
20240707110002,1132.88
20240707111002,898.25
20240707112002,1133.38
20240707113002,1230.57
20240707114002,1266.47
20240707115002,1297.89
20240707120002,1115.32
20240707121002,1109.15
20240707122002,976.91
20240707123002,1077.48
20240707124002,1042.94
20240707125002,1083.15
20240707130002,1125.87
20240707131002,886.38
20240707132002,618.06
20240707133002,677.3
20240707134002,777.08
20240707135002,751.2
20240707140002,998.2
20240707141002,718.94
20240707142002,472.86
20240707143002,145.23
20240707144002,254.53
20240707145002,296.81
20240707150002,209.62
20240707151002,218.66
20240707152002,122.92
20240707153002,69.81
20240707154002,13.38
20240707155002,127.5
20240707160002,41.03
20240707161002,36.83
20240707162002,27.18
20240707163002,19.1
20240707164002,12.93
20240707165002,0.0
20240317090003,1062.35
20240317091003,1290.29
20240317092003,1244.9
20240317093003,1415.14
20240317094003,1392.77
20240317095003,1466.13
20240317100003,1380.86
20240317101003,1433.02
20240317102003,1305.4
20240317103003,1002.93
20240317104003,1082.54
20240317105003,1158.85
20240317110003,1751.95
20240317111003,1673.61
20240317112003,1488.25
20240317113003,1606.93
20240317114003,1692.55
20240317115003,1224.24
20240317120003,1076.08
20240317121003,202.24
20240317122003,132.45
20240317123003,159.9
20240317124003,175.25
20240317125003,161.45
20240317130003,114.72
20240317131003,131.52
20240317132003,125.46
20240317133003,155.4
20240317134003,226.85
20240317135003,214.79
20240317140003,59.32
20240317141003,101.02
20240317142003,103.86
20240317143003,98.2
20240317144003,99.97
20240317145003,55.31
20240317150003,30.48
20240317151003,28.8
20240317152003,43.59
20240317153003,70.21
20240317154003,106.03
20240317155003,82.26
20240317160003,48.02
20240317161003,47.84
20240317162003,49.34
20240317163003,30.97
20240317164003,18.36
20240317165003,5.72
20240414090003,397.66
20240414091003,475.57
20240414092003,510.27
20240414093003,692.96
20240414094003,570.67
20240414095003,726.34
20240414100003,749.73
20240414101003,673.29
20240414102003,950.52
20240414103003,920.35
20240414104003,811.03
20240414105003,1125.32
20240414110003,1711.03
20240414111003,1686.16
20240414112003,1722.19
20240414113003,1736.55
20240414114003,1854.41
20240414115003,1910.23
20240414120003,1441.93
20240414121003,1392.12
20240414122003,1246.92
20240414123003,1013.87
20240414124003,756.79
20240414125003,668.52
20240414130003,1051.34
20240414131003,720.2
20240414132003,985.05
20240414133003,904.83
20240414134003,719.34
20240414135003,1308.44
20240414140003,829.45
20240414141003,303.79
20240414142003,458.49
20240414143003,465.31
20240414144003,567.07
20240414145003,637.67
20240414150003,480.16
20240414151003,349.91
20240414152003,289.23
20240414153003,344.23
20240414154003,283.41
20240414155003,198.73
20240414160003,198.14
20240414161003,126.45
20240414162003,103.97
20240414163003,98.76
20240414164003,89.66
20240414165003,71.69
20240524090003,134.08
20240524091003,118.31
20240524092003,152.17
20240524093003,197.01
20240524094003,273.22
20240524095003,394.25
20240524100003,213.3
20240524101003,143.83
20240524102003,210.63
20240524103003,210.43
20240524104003,224.85
20240524105003,219.14
20240524110003,221.1
20240524111003,198.77
20240524112003,290.71
20240524113003,207.17
20240524114003,154.61
20240524115003,153.33
20240524120003,222.16
20240524121003,153.3
20240524122003,247.61
20240524123003,232.81
20240524124003,264.46
20240524125003,416.73
20240524130003,446.25
20240524131003,414.49
20240524132003,341.8
20240524133003,260.66
20240524134003,214.67
20240524135003,205.37
20240524140003,47.74
20240524141003,28.9
20240524142003,26.17
20240524143003,26.11
20240524144003,12.38
20240524145003,6.11
20240524150003,4.03
20240524151003,3.33
20240524152003,5.72
20240524153003,3.57
20240524154003,4.4
20240524155003,3.25
20240524160003,2.02
20240524161003,1.96
20240524162003,1.39
20240524163003,1.55
20240524164003,3.88
20240524165003,3.98
20240526090003,149.72
20240526091003,173.08
20240526092003,288.02
20240526093003,549.65
20240526094003,870.01
20240526095003,724.76
20240526100003,546.21
20240526101003,328.41
20240526102003,325.84
20240526103003,214.55
20240526104003,226.25
20240526105003,183.4
20240526110003,154.88
20240526111003,247.12
20240526112003,156.03
20240526113003,125.09
20240526114003,114.94
20240526115003,128.28
20240526120003,123.62
20240526121003,171.7
20240526122003,168.28
20240526123003,137.31
20240526124003,84.37
20240526125003,98.0
20240526130003,103.0
20240526131003,89.75
20240526132003,97.03
20240526133003,73.08
20240526134003,43.13
20240526135003,27.12
20240526140003,59.33
20240526141003,56.61
20240526142003,51.88
20240526143003,43.01
20240526144003,42.79
20240526145003,34.41
20240526150003,42.33
20240526151003,42.43
20240526152003,27.21
20240526153003,17.14
20240526154003,13.63
20240526155003,7.67
20240526160003,18.29
20240526161003,14.94
20240526162003,10.66
20240526163003,5.6
20240526164003,1.42
20240526165003,1.73
20240603090003,106.25
20240603091003,94.2
20240603092003,115.95
20240603093003,114.9
20240603094003,107.12
20240603095003,97.34
20240603100003,144.2
20240603101003,137.33
20240603102003,138.45
20240603103003,138.47
20240603104003,147.08
20240603105003,113.3
20240603110003,91.08
20240603111003,92.76
20240603112003,72.45
20240603113003,65.04
20240603114003,88.63
20240603115003,139.65
20240603120003,188.03
20240603121003,198.98
20240603122003,217.88
20240603123003,186.02
20240603124003,143.78
20240603125003,176.53
20240603130003,140.79
20240603131003,166.41
20240603132003,164.66
20240603133003,132.99
20240603134003,87.6
20240603135003,80.61
20240603140003,81.27
20240603141003,68.44
20240603142003,99.4
20240603143003,84.21
20240603144003,56.66
20240603145003,34.06
20240603150003,11.9
20240603151003,9.61
20240603152003,9.95
20240603153003,7.37
20240603154003,5.15
20240603155003,3.28
20240603160003,0.89
20240603161003,1.66
20240603162003,5.71
20240603163003,5.11
20240603164003,3.79
20240603165003,3.37
20240620090003,995.7
20240620091003,1145.52
20240620092003,857.3
20240620093003,1121.75
20240620094003,1018.01
20240620095003,1156.32
20240620100003,1373.38
20240620101003,1308.21
20240620102003,853.58
20240620103003,418.28
20240620104003,400.96
20240620105003,450.62
20240620110003,1154.36
20240620111003,1370.66
20240620112003,1432.15
20240620113003,1416.26
20240620114003,1632.09
20240620115003,1685.76
20240620120003,1439.35
20240620121003,1394.47
20240620122003,1047.37
20240620123003,1287.27
20240620124003,1252.39
20240620125003,1317.16
20240620130003,1345.36
20240620131003,784.65
20240620132003,424.78
20240620133003,477.25
20240620134003,670.69
20240620135003,572.62
20240620140003,1170.72
20240620141003,664.08
20240620142003,709.05
20240620143003,539.79
20240620144003,259.09
20240620145003,112.86
20240620150003,127.8
20240620151003,69.17
20240620152003,41.87
